### BoGEMMS simulation ### 
# EventID Pos Edep_scint[keV] Nabs_SiPM_PDE Nabs_SiPM N_opt Edep_SiPM[keV]
339                           1                             661.6572831606165             153.77063621215606            525                           5298                          1.3711360305448728            
706                           1                             661.6572831606165             142.70462414469688            465                           5255                          1.2390381919725857            
1948                          1                             661.6572831606169             160.66477244321956            531                           5348                          1.4074597031066962            
2088                          1                             661.6572831606165             161.39891345229213            531                           5204                          1.4069578979472952            
2396                          1                             661.6572831606165             158.13032320057337            527                           5183                          1.3872156345991469            
3165                          1                             661.6572831606167             144.7159385526144             493                           5304                          1.2849532263825574            
4276                          1                             661.6572831606165             155.03213071198948            517                           5229                          1.3667664330040394            
4782                          1                             661.6572831606164             148.7738729637337             481                           5205                          1.2858740085778948            
4875                          1                             661.6572831606168             150.19434554637465            490                           5219                          1.3053635138500523            
5454                          1                             661.6572831606164             155.9879660544505             519                           5125                          1.3698670767796863            
5952                          1                             661.6572831606169             156.58528341548828            521                           5337                          1.3747649756297862            
6010                          1                             206.55085200378375            50.59509861406108             171                           1636                          0.4471355996018679            
6951                          1                             661.6572831606165             158.31172727884902            530                           5192                          1.3984042357174844            
7335                          1                             573.9921831606165             148.52572463956855            499                           4748                          1.3101735105468637            
7673                          1                             661.6572831606168             149.74571122880045            500                           5084                          1.3188582030265812            
7812                          1                             129.02395524149398            30.965313850722342            99                            1019                          0.2667952297834335            
7996                          1                             661.6572831606164             145.933080218439              481                           5078                          1.2806095725367774            
8260                          1                             599.4024973742972             143.69185843595957            472                           4721                          1.253023606425654             
9195                          1                             661.6572831606162             153.3310154002754             511                           5291                          1.3483499584865406            
9896                          1                             661.6572831606168             166.55281086791038            553                           5171                          1.462056921279265             
10071                         1                             549.4278017302826             141.49689672145294            468                           4253                          1.2374430003238857            
10126                         1                             137.29731629192037            32.0665085194249              107                           1096                          0.28143338244837396           
10385                         1                             661.6572831606165             152.76910080760624            501                           5274                          1.3360041765387125            
10753                         1                             661.6572831606164             156.94109638379715            520                           5223                          1.3772623632702627            
11611                         1                             661.6572831606163             157.20606439852193            515                           5161                          1.3654116349007634            
11658                         1                             661.6572831606167             153.38759446362934            506                           5085                          1.3410072644024078            
12100                         1                             344.21680619826304            81.12542059158703             266                           2736                          0.7086126013550285            
13219                         1                             31.818762830942298            7.413724573638612             25                            230                           0.06572477131556718           
13295                         1                             661.6572831606162             146.45763394981347            488                           5225                          1.287371764440964             
15210                         1                             212.41211756381202            55.88871765474378             185                           1711                          0.48908261897545025           
16213                         1                             162.80965704060958            37.923218921740414            127                           1276                          0.33290782845302513           
16527                         1                             661.6572831606163             149.82544857701797            492                           5182                          1.3047852296641966            
17056                         1                             661.6572831606167             142.86785564896314            479                           5382                          1.2611997463361875            
17134                         1                             661.6572831606167             158.77324832537929            526                           5185                          1.3926306106553925            
17612                         1                             424.1962852741333             107.80561502754293            355                           3435                          0.940280285220393             
17742                         1                             661.6572831606167             151.54273772963788            500                           5373                          1.3251490012928555            
18544                         1                             661.6572831606165             155.71530470566057            512                           5256                          1.3591619661466439            
18690                         1                             661.6572831606163             156.20632691678617            512                           5391                          1.361668689447951             
18814                         1                             621.2998504571237             139.26264195707535            467                           4885                          1.2280210621139087            
18973                         1                             661.6572831606164             159.63451419520462            531                           5315                          1.4053547566549915            
19109                         1                             494.38806776652666            111.64151415770344            373                           3934                          0.9821881580255558            
19197                         1                             433.8483664648662             104.68004499810341            346                           3522                          0.9160038240388129            
19377                         1                             661.6572831606163             161.6811723513511             534                           5279                          1.4151146709458309            
19401                         1                             661.6572831606163             153.3224680432085             503                           5203                          1.3377599905607256            
19418                         1                             661.6572831606163             162.56951153281966            538                           5342                          1.4238067408859758            
19774                         1                             661.6572831606163             134.83063635025093            446                           5123                          1.181479502384193             
20722                         1                             661.6572831606168             168.75151708803298            563                           5379                          1.482921116260454             
21311                         1                             661.6572831606167             159.0033927338369             528                           5436                          1.3952368950635163            
21357                         1                             420.5235306745764             101.65717516834482            334                           3309                          0.886378273512817             
21428                         1                             225.82187432476996            52.340152525281965            177                           1745                          0.46506693395415666           
22065                         1                             661.6572831606168             156.26303892397766            524                           5265                          1.3786932964931293            
22260                         1                             515.320781688777              118.65082004193363            396                           4021                          1.038803199304865             
22845                         1                             661.6572831606162             159.4605417760147             519                           5332                          1.3861821349857215            
23155                         1                             661.6572831606163             155.54194574649176            508                           5051                          1.3504137376090015            
23257                         1                             661.6572831606163             147.91594426298937            490                           5102                          1.3005646583264399            
23800                         1                             661.6572831606167             152.5019924676647             500                           5140                          1.3257376453475591            
24602                         1                             412.81495405268714            104.63560296751791            341                           3145                          0.9091397312909196            
24755                         1                             442.69510559165667            136.13137208872988            456                           3344                          1.2066164211491053            
25047                         1                             236.20763600449237            55.97019132959508             184                           1882                          0.4897407760741807            
26748                         1                             114.62140110305668            27.291779597001934            93                            893                           0.2417584344253905            
26769                         1                             661.6572831606164             153.01711101808797            505                           5312                          1.3389129884999171            
27850                         1                             488.98722273744977            112.17294641482651            383                           3890                          1.0013516658428654            
28461                         1                             661.6572831606163             170.50306775960632            566                           5389                          1.4951339281940415            
29168                         1                             661.6572831606165             159.99536815737076            527                           5405                          1.3992546257839598            
29754                         1                             661.6572831606164             173.24228934791154            573                           5270                          1.5160694705897475            
30937                         1                             661.6572831606168             139.41882196544069            466                           5201                          1.2244940817045862            
31099                         1                             35.08471358855881             9.361735610755067             30                            305                           0.07982268280200823           
31145                         1                             338.95517420635514            79.31189033667765             265                           2616                          0.6963750795646342            
