# Wavelength[nm] PDE[%]
0. 0.
200 2.2727272727272805
225.02708559046587 3.354978354978357
250.81256771397614 4.112554112554122
274.3228602383532 6.709956709956714
282.6652221018418 10.606060606060609
292.52437703141925 15.584415584415588
302.3835319609967 19.696969696969703
312.2426868905742 23.160173160173162
328.169014084507 26.623376623376625
350.1625135427952 29.54545454545455
371.39761646803896 31.818181818181824
387.32394366197184 35.3896103896104
410.0758396533044 37.87878787878788
432.06933911159257 37.337662337662344
448.75406283856984 35.28138528138528
462.4052004333694 33.116883116883116
475.2979414951245 30.952380952380956
492.7410617551462 27.81385281385282
512.4593716143011 24.24242424242425
532.9360780065006 21.10389610389611
554.9295774647887 18.181818181818187
576.1646803900325 15.692640692640694
601.9501625135428 13.311688311688322
631.527627302275 11.147186147186147
655.7963163596966 9.41558441558442
682.3401950162513 7.900432900432904
705.0920910075838 6.709956709956714
727.8439869989165 5.519480519480524
752.1126760563379 4.65367965367966
774.8645720476704 3.787878787878789
798.3748645720475 3.0303030303030383
822.6435536294689 2.489177489177493
845.3954496208016 1.9480519480519476
868.9057421451787 1.623376623376629
899.2416034669554 1.1904761904761898
1000. 0.
20000. 0.
20000000000000000. 0
