### BoGEMMS simulation ### 
# EventID Edep_scint[keV] Nabs_SiPM_PDE Nabs_SiPM N_opt Edep_SiPM[keV]
0                             265.606193091444              65.881303779422               216                           2046                          0.5723832943038092            
1                             262.6489419281402             67.79483804068688             223                           2052                          0.5907029964060053            
2                             1405.1381802638195            330.3697024751238             1096                          10946                         2.892934252509378             
3                             510.99890999999997            127.30725045471712            429                           4027                          1.1251947527187343            
5                             510.9989100000001             122.24608433315646            406                           4020                          1.0723202262402762            
6                             510.99891000000014            111.87898276414407            377                           4009                          0.98881901512351              
8                             333.84017429203686            76.97585040675935             259                           2707                          0.6807460669502353            
9                             1274.5373401787517            327.453332036042              1089                          10252                         2.8805137685665825            
11                            510.9989100000002             126.77929019319902            415                           4087                          1.1002521500472309            
12                            1274.5373401794634            341.9091316214962             1127                          10563                         2.9863377584386552            
13                            510.9989099999999             123.25254563503134            414                           4052                          1.088631970244677             
14                            64.00820396526638             14.53928848581825             46                            488                           0.12444128745510338           
16                            519.751724453324              140.34313920488438            476                           4135                          1.2436938833404798            
17                            510.99891                     131.63592351920815            431                           4260                          1.142575860378405             
18                            510.9989100000001             125.391050332585              416                           4016                          1.0948042743196433            
20                            907.6547120254651             222.94946169725276            741                           7373                          1.9576371737116658            
21                            510.9989099999999             115.29928006314985            381                           3956                          1.0088856058279234            
22                            510.99891                     127.85019748517784            423                           4050                          1.1227217782196885            
23                            240.6184109491101             62.44767371751105             202                           1856                          0.5395138710764391            
25                            1710.4722501794636            438.99925918301955            1463                          13833                         3.862901732944843             
26                            510.9989099999999             126.16388864880392            411                           3951                          1.0965019808198417            
28                            226.3891251500721             48.26184918822749             157                           1725                          0.4170930380783542            
29                            1769.99126117262              452.2045493407241             1516                          14119                         3.9808419611070582            
30                            510.9989099999999             133.76310110867047            450                           4135                          1.1808750511191417            
31                            337.47320695097557            79.84738645965928             266                           2653                          0.7011405818431816            
32                            1160.299068590989             266.2688223844331             878                           9372                          2.3250928560604476            
34                            1438.8456646567843            379.4707382646897             1254                          11356                         3.3222688321076124            
35                            1375.7796632094216            346.0910529682908             1138                          11098                         3.0184018207996526            
37                            1504.2963929044122            386.31867421713537            1267                          12155                         3.369686894309093             
38                            510.9989099999999             131.44564212265323            432                           4148                          1.1513592991449848            
39                            1139.8003134185215            295.01206719369145            977                           9011                          2.586572725601891             
40                            823.2636472993598             203.9396666216043             674                           6451                          1.7844034447961554            
42                            1453.4705091679293            337.1984564417686             1119                          11348                         2.958168876195756             
43                            510.99891                     125.77903220455494            426                           4132                          1.1197697892120484            
44                            510.9989099999998             138.72845953517563            455                           4158                          1.2101195311932387            
45                            510.9989099999999             123.3052411501175             411                           4004                          1.0879536562674565            
46                            510.9989099999999             125.17306347949312            418                           4021                          1.0999956671230395            
47                            500.04621599573863            140.07750106554587            464                           4047                          1.225994129069761             
48                            1005.1363446226562            245.9426663774967             812                           7909                          2.157153115992144             
49                            510.99891                     115.52390307161753            381                           4121                          1.0091392692680567            
50                            1273.342744552234             306.792894126303              1022                          10059                         2.697496557736347             
51                            1695.5036501794639            425.1480617913792             1408                          13526                         3.723243875838769             
52                            510.99891000000014            116.26338136140437            387                           4023                          1.0199550828435249            
53                            510.9989099999998             134.1608179668061             442                           4074                          1.170672300442946             
54                            510.9989099999998             133.08383096187177            435                           4044                          1.1611228109887517            
55                            510.99891                     132.10246349606354            441                           4084                          1.1613902966160263            
56                            1274.537340179464             315.699925813582              1044                          10068                         2.775375234274896             
57                            510.99891000000014            133.88972862935873            448                           4138                          1.1829373013007523            
58                            510.99891                     135.34538326099516            443                           3810                          1.178134036127998             
59                            510.9989100000002             128.3992609798061             424                           4170                          1.123834213078697             
62                            835.5349509845944             221.6938580717183             738                           6711                          1.9491035147521463            
63                            714.0482764763187             174.8272932165572             585                           5535                          1.5375608008949886            
66                            1452.9919669674894            366.0332318342205             1209                          11604                         3.20183027305689              
68                            510.9989099999998             120.95771959945304            405                           4104                          1.0640586159112984            
69                            1426.5978078824833            375.490844871015              1241                          11591                         3.293534601990171             
70                            1335.1778742271365            333.17847378988927            1107                          10823                         2.933024143483832             
71                            1785.536250179464             459.9562762574312             1527                          14245                         4.038162901183577             
72                            510.99890999999974            129.86149165179512            428                           4113                          1.1312429626482565            
74                            510.99891                     132.4604320137917             436                           3944                          1.1557168006856593            
75                            1623.801064236264             415.2867368564802             1390                          13004                         3.6571996183931232            
76                            166.99439883830505            38.36985339422719             124                           1317                          0.33131497565695633           
77                            510.99891                     128.29530065621324            423                           3856                          1.1210007250408869            
78                            1014.9418094452533            260.3167740260298             869                           8116                          2.2912529399754455            
79                            148.01743436600518            34.987191031769555            117                           1112                          0.30823664007184076           
80                            510.99890999999997            144.87466273146634            475                           4026                          1.2631685651324376            
81                            510.9989099999999             114.04342008425549            376                           3889                          0.9950219999787318            
82                            510.99891                     136.4768819541682             447                           4205                          1.1837454192388972            
84                            1785.5362501794634            429.0444844512627             1425                          14197                         3.765825161094534             
85                            98.18762623806164             22.601999199088997            76                            804                           0.19891927717792895           
86                            1186.4449290345224            310.8006206384052             1031                          9702                          2.7299014654759204            
87                            234.33172074945577            48.33370593050503             159                           1739                          0.4208726801154539            
89                            510.9989099999998             126.34787940248489            422                           3961                          1.1143688502639861            
90                            510.99890999999997            117.22150412613736            393                           4134                          1.0308556737032781            
91                            1785.536250179464             473.2872453263316             1569                          14244                         4.158481373442495             
93                            1448.324080396112             382.59493106720674            1270                          11522                         3.3570982695996614            
94                            315.68023519996126            75.65688745350393             253                           2509                          0.6692169542934753            
95                            510.9989099999999             134.16517269461363            448                           4022                          1.1832348321451005            
96                            0.6211619437062055            0                             0                             0                             0.0                           
97                            510.99891                     132.3657929994324             431                           4036                          0.0                           
98                            638.9800404440138             162.10377260670984            530                           5035                          1.1505699145309114            
99                            343.0418149768691             78.41536426010575             259                           2602                          1.4092131486011485            
100                           510.99890999999997            139.08547440817367            463                           4110                          0.687710723054765             
